account,account_country,budget_level
AB,PT,Cash reserve P
Alelo,BR,Cash reserve P
Avenue,US,Investments
BB,BR,Cash reserve P
BNB,BR,Investments
BT,BR,Investments
BlockFi,US,Investments
Caju,BR,Cash reserve P
Coverflex,PT,Cash reserve P
Dasha,BR,Cash reserve D
Nubank D,BR,Investments
Degiro,FR,Investments
Easy,BR,Investments
IBKR,US,Investments
Kraken,DE,Investments
Klarna,SE,Investments
Ledger,US,Investments
MetaMask,US,Investments
N26,DE,Cash reserve P
Nu,BR,Investments
Payoneer,US,Cash reserve D
Phantom,US,Investments
Ronin,US,Investments
T212,DE,Investments
Wise,PT,Cash reserve P
Wise D,PT,Cash reserve D
