financial_level_1,financial_level_2,budget_level_1,budget_level_2,budget_level_3,label
Essentials,Essentials,Home,House bills,Rent,Rent
Essentials,Essentials,Home,House bills,House insurance,House insurance
Essentials,Essentials,Home,House bills,Internet,Internet
Essentials,Essentials,Home,House bills,Electricity,Electricity
Essentials,Essentials,Home,House bills,Water,Water
Essentials,Essentials,Home,House bills,Gas,Gas
Essentials,Essentials,Domestic Goods & Services,Minor goods,House maintenance,House maintenance
Discretionary,Discretionary,Domestic Goods & Services,Minor goods,Minor goods,Minor goods
Discretionary,Discretionary,Domestic Goods & Services,Minor goods,Minor goods,Infra
Discretionary,Discretionary,Domestic Goods & Services,Major goods,Furniture,Comfort
Discretionary,Discretionary,Domestic Goods & Services,Major goods,Furniture,Furniture
Discretionary,Discretionary,Domestic Goods & Services,Major goods,Eletrodomestics,Eletrodomestics
Discretionary,Discretionary,Domestic Goods & Services,Major goods,Other major goods,Domestic Goods
Discretionary,Discretionary,Domestic Goods & Services,Major goods,Other major goods,Other goods
Discretionary,Discretionary,Domestic Goods & Services,Major services,Move,Move
Discretionary,Discretionary,Food,Event food,Travel food,Travel food
Discretionary,Discretionary D,Food,Event food,Travel food,Travel food D
Discretionary,Discretionary P,Food,Event food,Travel food,Travel food P
Discretionary,Discretionary,Food,Event food,Travel food,Food
Discretionary,Discretionary,Food,Event food,Travel food,Food (Travel)
Discretionary,Discretionary,Food,Event food,Travel food,Supermarket (Travel)
Discretionary,Discretionary,Food,Event food,Social meal,Social meal
Discretionary,Discretionary D,Food,Event food,Social meal,Social meal D
Discretionary,Discretionary P,Food,Event food,Social meal,Social meal P
Discretionary,Discretionary D,Food,Eat out,Restaurant,Restaurant D
Discretionary,Discretionary D,Food,Eat out,Delivery,Delivery D
Discretionary,Discretionary P,Food,Eat out,Restaurant,Restaurant P
Discretionary,Discretionary P,Food,Eat out,Delivery,Delivery P
Discretionary,Discretionary,Food,Eat out,Cafe,Cafe
Discretionary,Discretionary,Food,Eat out,Cafe,Snack
Discretionary,Discretionary,Food,Eat out,Restaurant,Eat out
Essentials,Essentials,Food,Eat out,Restaurant,Restaurant
Discretionary,Discretionary,Food,Eat out,Delivery,Delivery
Essentials,Essentials,Food,Supermarket,Supermarket,Supermarket
Essentials,Essentials,Food,Supermarket,Carbs,Carbs
Essentials,Essentials,Food,Supermarket,Bottled water,Bottled water
Essentials,Essentials,Food,Supermarket,Beverages,Beverages
Essentials,Essentials,Food,Supermarket,Protein,Frozen
Essentials,Essentials,Food,Supermarket,Other Food,Seasoning
Essentials,Essentials,Food,Supermarket,Other Food,Baking
Essentials,Essentials,Food,Supermarket,Bathroom & Kitchen,Kitchenware
Essentials,Essentials,Food,Supermarket,Vegetables & Fruits,Fruits
Essentials,Essentials,Food,Supermarket,Vegetables & Fruits,Vegetables
Essentials,Essentials,Food,Supermarket,Protein,Meat
Essentials,Essentials,Food,Supermarket,Other Food,Breakfast
Essentials,Essentials,Food,Supermarket,Bathroom & Kitchen,Cleaning
Essentials,Essentials,Food,Supermarket,Bathroom & Kitchen,Toiletteries
