financial_level_1,financial_level_2,budget_level_1,budget_level_2,budget_level_3,label
Invested,Bonds,Bonds,Bonds BR,CDB CDI,CDB CDI L
Invested,Bonds,Bonds,Bonds BR,CDB IPCA,CDB IPCA L
Invested,Bonds,Bonds,Bonds BR,CDB Prefix,CDB Prefix L
Invested,Bonds,Bonds,Bonds BR,TD IPCA,TD IPCA L
Invested,Bonds,Bonds,Bonds BR,TD Prefix,TD Prefix L
Invested,Bonds,Bonds,Bonds BR,TD SELIC,TD SELIC L
Invested,Bonds,Bonds,Bonds BR,CRA IPCA,CRA IPCA L
Invested,Bonds,Bonds,Bonds BR,CRA Prefix,CRA Prefix L
Invested,Bonds,Bonds,Bonds BR,CRA CDI,CRA CDI L
Invested,Bonds,Bonds,Bonds BR,LCI IPCA,LCI IPCA L
Invested,Bonds,Bonds,Bonds BR,LCI Prefix,LCI Prefix L
Invested,Bonds,Bonds,Bonds BR,LCI CDI,LCI CDI L
Invested,Bonds,Bonds,Bonds EU,EUR212,EUR212
Invested,Bonds,Bonds,Bonds EU,EUR K,EUR K
Invested,Bonds,Bonds,Bonds EU,EUR W,EUR W
Invested,Bonds,Bonds,Bonds EU,USD W,USD W
Uninvested,Cash,Cash,Stable (Cash),EUR,EUR
Uninvested,Cash,Cash,Stable (Cash),USD,USD
Uninvested,Cash,Cash,Volatile (Cash),BRL,Rivalry
Uninvested,Cash,Cash,Volatile (Cash),BRL,BRL
Uninvested,Cash,Cash,Volatile (Cash),C,C
Invested,Cash,Cash,Internal,Purchase,Purchase
Invested,Cash,Cash,Internal,Sale,Sale
Uninvested,Cash,Cash,Internal,Transfer in,Transfer in
Uninvested,Cash,Cash,Internal,Transfer out,Transfer out
Invested,Bonds,Cash,Volatile (Cash),BTG,BTG
Invested,Bonds,Cash,Volatile (Cash),Nubank,Nubank
Invested,Bonds,Cash,Volatile (Cash),Nubank,Savings
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,ADA,ADA
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,AVAX,AVAX
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,BNB,BNB
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,BTC,BTC
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,DOT,DOT
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,ETH,ETH
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,LTC,LTC
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,LUNA,LUNA
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,LUNA,LUNA2
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,MATIC,MATIC
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,SHIB,SHIB
Invested,Stocks & Crypto,Stocks & Crypto,Crypto,SOL,SOL
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,AMZN,AMZO34
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,AMZN,AMZN
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,BRAX,BBSD11
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,BRAX,BRAX11
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,DIS,DISB34
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,GOOGL,GOGL34
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,META,FBOK34
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,MSFT,MSFT34
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,MSFT,MSFT
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,MSFT,MSF
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,PHPD,PHPD
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,RUS,RUS
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,SPY,IVVB11
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,SPY,SPY
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,SPY,SXR8
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,SPY (benchmark),SXR7
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,NVD,NVD
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,TSLA,TSLA34
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,TSLA,TSLA
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,UST,UST
Invested,Stocks & Crypto,Stocks & Crypto,Growth stocks,UST,SXRV
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,ATLAS,ATLAS
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,Star atlas,Star atlas
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,Axie,Axie
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,AXS,AXS
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,BCOIN,BCOIN
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,Defina,Defina
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,FINA,FINA
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,POLIS,POLIS
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,RON,RON
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,SAND,SAND
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,SLP,SLP
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,THC,THC
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,Thetan,Thetan
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,THG,THG
Invested,Stocks & Crypto,Stocks & Crypto,NFT games,TRV,TRV
Invested,Stocks & Crypto,Stocks & Crypto,Real state,IRDM,IRDM11
Invested,Stocks & Crypto,Stocks & Crypto,Real state,O,O
Invested,Stocks & Crypto,Stocks & Crypto,Real state,CPTS,CPTS11
Invested,Stocks & Crypto,Stocks & Crypto,Real state,ALZR,ALZR11
Invested,Stocks & Crypto,Stocks & Crypto,Real state,RBHY,RBHY11
Invested,Stocks & Crypto,Stocks & Crypto,Real state,RBHY,RBHY
Invested,Stocks & Crypto,Stocks & Crypto,Real state,VNQ,VNQ
Invested,Stocks & Crypto,Stocks & Crypto,Stablecoin,BUSD,BUSD
Invested,Stocks & Crypto,Stocks & Crypto,Stablecoin,GUSD,GUSD
