budget_level,level_1,level_2,level_3,frequency,label
Essentials,Home,House bills,Rent,Monthly,Rent
Essentials,Home,House bills,Internet,Monthly,Internet
Essentials,Home,House bills,Insurance,Monthly,Insurance
Essentials,Home,House bills,Electricity,Monthly,Electricity
Essentials,Home,House bills,Water,Monthly,Water
Essentials,Home,House bills,Gas,Monthly,Gas
Shared,Domestic Goods,Minor goods,Minor goods,Yearly,Minor goods
Shared,Domestic Goods,Minor goods,Minor goods,Yearly,Infra
Shared,Domestic Goods,Major goods,Furniture,Yearly,Comfort
Shared,Domestic Goods,Major goods,Furniture,Yearly,Furniture
Shared,Domestic Goods,Major goods,Eletrodomestics,Yearly,Eletrodomestics
Shared,Domestic Goods,Major goods,Other major goods,Yearly,Domestic Goods
Shared,Domestic Goods,Major goods,Other major goods,Yearly,Other goods
Shared,Food,Event food,Travel food,Monthly,Travel food
Free D,Food,Event food,Travel food,Monthly,Travel food D
Free P,Food,Event food,Travel food,Monthly,Travel food P
Shared,Food,Event food,Travel food,Monthly,Food
Shared,Food,Event food,Travel food,Monthly,Food (Travel)
Shared,Food,Event food,Travel food,Monthly,Supermarket (Travel)
Shared,Food,Event food,Social meal,Monthly,Social meal
Free D,Food,Event food,Social meal,Monthly,Social meal D
Free P,Food,Event food,Social meal,Monthly,Social meal P
Free D,Food,Eat out,Restaurant,Monthly,Restaurant D
Free D,Food,Eat out,Delivery,Monthly,Delivery D
Free P,Food,Eat out,Restaurant,Monthly,Restaurant P
Free P,Food,Eat out,Delivery,Monthly,Delivery P
Shared,Food,Eat out,Cafe,Monthly,Cafe
Shared,Food,Eat out,Cafe,Monthly,Snack
Essentials,Food,Eat out,Restaurant,Monthly,Eat out
Essentials,Food,Eat out,Restaurant,Monthly,Restaurant
Essentials,Food,Eat out,Delivery,Monthly,Delivery
Essentials,Food,Supermarket,Supermarket,Monthly,Supermarket
Shared,Travel,Tickets & Long Transport,Flight,Yearly,Flight
Free D,Travel,Tickets & Long Transport,Flight,Yearly,Flight D
Free P,Travel,Tickets & Long Transport,Flight,Yearly,Flight P
Shared,Travel,Tickets & Long Transport,Flight,Yearly,Train
Shared,Travel,Tickets & Long Transport,Flight,Yearly,Car rental
Shared,Travel,Tickets & Long Transport,Flight,Yearly,Bus
Shared,Travel,Stay,Hotel,Yearly,Hotel
Shared,Travel,Souvenir,Souvenir,Yearly,Souvenir
Free D,Travel,Souvenir,Souvenir,Yearly,Souvenir D
Free P,Travel,Souvenir,Souvenir,Yearly,Souvenir P
Shared,Travel,Souvenir,Souvenir,Yearly,Extra
Shared,Travel,Travel Transport,Transport (Travel),Yearly,Transport
Shared,Travel,Travel Transport,Transport (Travel),Yearly,Transport (Travel)
Shared,Travel,Tours,Tours,Yearly,Tour
Shared,Travel,Tours,Tours,Yearly,Small trip
Free D,Clothes,Clothes D,Other D,Yearly,Other D
Free D,Clothes,Clothes D,Other D,Yearly,Accessory D
Free D,Clothes,Clothes D,Clothes D,Yearly,Clothes D
Free D,Clothes,Clothes D,Shoes D,Yearly,Shoes D
Free P,Clothes,Clothes P,Other P,Yearly,Other P
Free P,Clothes,Clothes P,Other P,Yearly,Accessory P
Free P,Clothes,Clothes P,Clothes P,Yearly,Clothes P
Free P,Clothes,Clothes P,Clothes P,Yearly,Clothes D+P
Free P,Clothes,Clothes P,Shoes P,Yearly,Shoes P
Free P,Products & Services,Hobbies & Interests P,Figurines & Objects,Yearly,Objects
Free P,Products & Services,Hobbies & Interests P,Figurines & Objects,Yearly,Figurines
Free P,Products & Services,Hobbies & Interests P,Games,Yearly,Games
Free P,Products & Services,Hobbies & Interests P,Peripherals P,Yearly,Peripherals
Free P,Products & Services,Hobbies & Interests P,Hardware,Yearly,Hardware
Free P,Products & Services,Hobbies & Interests P,Phone P,Yearly,Phone
Free P,Products & Services,Hobbies & Interests P,Phone P,Yearly,Phone P
Free D,Products & Services,Hobbies & Interests D,Phone D,Yearly,Phone D
Free D,Products & Services,Hobbies & Interests D,Peripherals D,Yearly,Peripherals D
Free D,Products & Services,Hobbies & Interests D,Beauty tools,Yearly,Beauty tools
Free D,Products & Services,Hobbies & Interests D,Plushies,Yearly,Plushies
Free D,Products & Services,Hobbies & Interests D,Books,Yearly,Books
Free D,Products & Services,Hobbies & Interests D,Cosmetics,Yearly,Cosmetics
Shared,Products & Services,Hobbies & Interests B,Leisure,Yearly,Leisure
Shared,Products & Services,Hobbies & Interests B,Subscriptions,Yearly,Subscriptions
Shared,Products & Services,Gifts D,Gifts D,Yearly,Dasha
Shared,Products & Services,Gifts P,Gifts P,Yearly,Pedro
Shared,Products & Services,Gifts (famiy & friends),Parents,Yearly,Parents
Shared,Products & Services,Gifts (famiy & friends),Family,Yearly,Other people
Shared,Products & Services,Gifts (famiy & friends),Family,Yearly,Family
Shared,Products & Services,Gifts (famiy & friends),Friends,Yearly,Friends
Shared,Products & Services,Gifts (famiy & friends),Friends,Yearly,Others
Free D,Products & Services,Gifts (famiy & friends),Parents,Yearly,Parents D
Free D,Products & Services,Gifts (famiy & friends),Family,Yearly,Other people D
